Country,Country code,Poptype,year,population
Madagascar,450,Pop,2015,24235
Madagascar,450,MalePop,1990,5765
Madagascar,450,MalePop,1995,6704
Madagascar,450,MalePop,2000,7839
Madagascar,450,MalePop,2005,9107
Madagascar,450,MalePop,2010,10500
Madagascar,450,MalePop,2015,12082
Madagascar,450,FemalePop,1990,5781
Madagascar,450,FemalePop,1995,6748
Madagascar,450,FemalePop,2000,7905
Madagascar,450,FemalePop,2005,9183
Madagascar,450,FemalePop,2010,10580
Madagascar,450,FemalePop,2015,12153
Malawi,454,Pop,1990,9409
Malawi,454,Pop,1995,9823
Malawi,454,Pop,2000,11193
Malawi,454,Pop,2005,12748
Malawi,454,Pop,2010,14770
Malawi,454,Pop,2015,17215
Malawi,454,MalePop,1990,4623
Malawi,454,MalePop,1995,4860
Malawi,454,MalePop,2000,5551
Malawi,454,MalePop,2005,6342
Malawi,454,MalePop,2010,7356
Malawi,454,MalePop,2015,8593
Malawi,454,FemalePop,1990,4786
Malawi,454,FemalePop,1995,4963
Malawi,454,FemalePop,2000,5643
Malawi,454,FemalePop,2005,6406
Malawi,454,FemalePop,2010,7413
Malawi,454,FemalePop,2015,8622
Mauritius,480,Pop,1990,1056
Mauritius,480,Pop,1995,1129
Mauritius,480,Pop,2000,1185
Mauritius,480,Pop,2005,1222
Mauritius,480,Pop,2010,1248
Mauritius,480,Pop,2015,1273
Mauritius,480,MalePop,1990,527
Mauritius,480,MalePop,1995,563
Mauritius,480,MalePop,2000,588
Mauritius,480,MalePop,2005,606
Mauritius,480,MalePop,2010,619
Mauritius,480,MalePop,2015,629
Mauritius,480,FemalePop,1990,529
Mauritius,480,FemalePop,1995,566
Mauritius,480,FemalePop,2000,597
Mauritius,480,FemalePop,2005,616
Mauritius,480,FemalePop,2010,629
Mauritius,480,FemalePop,2015,644
Mayotte,175,Pop,1990,95
Mayotte,175,Pop,1995,123
Mayotte,175,Pop,2000,150
Mayotte,175,Pop,2005,178
Mayotte,175,Pop,2010,209
Mayotte,175,Pop,2015,240
Mayotte,175,MalePop,1990,48
Mayotte,175,MalePop,1995,63
Mayotte,175,MalePop,2000,76
Mayotte,175,MalePop,2005,88
Mayotte,175,MalePop,2010,102
Mayotte,175,MalePop,2015,118
Mayotte,175,FemalePop,1990,46
Mayotte,175,FemalePop,1995,61
Mayotte,175,FemalePop,2000,74
Mayotte,175,FemalePop,2005,90
Mayotte,175,FemalePop,2010,107
Mayotte,175,FemalePop,2015,122
Mozambique,508,Pop,1990,13372
Mozambique,508,Pop,1995,15913
Mozambique,508,Pop,2000,18265
Mozambique,508,Pop,2005,21127
Mozambique,508,Pop,2010,24321
Mozambique,508,Pop,2015,27978
Mozambique,508,MalePop,1990,6390
Mozambique,508,MalePop,1995,7596
Mozambique,508,MalePop,2000,8766
Mozambique,508,MalePop,2005,10213
Mozambique,508,MalePop,2010,11821
Mozambique,508,MalePop,2015,13666
Mozambique,508,FemalePop,1990,6982
Mozambique,508,FemalePop,1995,8317
Mozambique,508,FemalePop,2000,9498
Mozambique,508,FemalePop,2005,10914
Mozambique,508,FemalePop,2010,12500
Mozambique,508,FemalePop,2015,14312
R<e9>union,638,Pop,1990,611
R<e9>union,638,Pop,1995,674
R<e9>union,638,Pop,2000,737
R<e9>union,638,Pop,2005,792
R<e9>union,638,Pop,2010,831
R<e9>union,638,Pop,2015,861
R<e9>union,638,MalePop,1990,299
R<e9>union,638,MalePop,1995,329
R<e9>union,638,MalePop,2000,360
R<e9>union,638,MalePop,2005,388
R<e9>union,638,MalePop,2010,402
R<e9>union,638,MalePop,2015,417
R<e9>union,638,FemalePop,1990,312
R<e9>union,638,FemalePop,1995,345
R<e9>union,638,FemalePop,2000,377
R<e9>union,638,FemalePop,2005,403
R<e9>union,638,FemalePop,2010,428
R<e9>union,638,FemalePop,2015,444
Rwanda,646,Pop,1990,7260
Rwanda,646,Pop,1995,5913
Rwanda,646,Pop,2000,8022
Rwanda,646,Pop,2005,9008
Rwanda,646,Pop,2010,10294
Rwanda,646,Pop,2015,11610
Rwanda,646,MalePop,1990,3565
Rwanda,646,MalePop,1995,2839
Rwanda,646,MalePop,2000,3847
Rwanda,646,MalePop,2005,4297
Rwanda,646,MalePop,2010,4915
Rwanda,646,MalePop,2015,5560
Rwanda,646,FemalePop,1990,3695
Rwanda,646,FemalePop,1995,3074
Rwanda,646,FemalePop,2000,4175
Rwanda,646,FemalePop,2005,4711
Rwanda,646,FemalePop,2010,5379
Rwanda,646,FemalePop,2015,6050
Seychelles,690,Pop,1990,71
Seychelles,690,Pop,1995,77
Seychelles,690,Pop,2000,81
Seychelles,690,Pop,2005,89
Seychelles,690,Pop,2010,93
Seychelles,690,Pop,2015,96
Seychelles,690,MalePop,1990,35
Seychelles,690,MalePop,1995,38
Seychelles,690,MalePop,2000,40
Seychelles,690,MalePop,2005,44
Seychelles,690,MalePop,2010,47
Seychelles,690,MalePop,2015,49
Seychelles,690,FemalePop,1990,35
Seychelles,690,FemalePop,1995,38
Seychelles,690,FemalePop,2000,41
Seychelles,690,FemalePop,2005,44
Seychelles,690,FemalePop,2010,46
Seychelles,690,FemalePop,2015,48
Somalia,706,Pop,1990,6322
Somalia,706,Pop,1995,6346
Somalia,706,Pop,2000,7385
Somalia,706,Pop,2005,8467
Somalia,706,Pop,2010,9582
Somalia,706,Pop,2015,10787
Somalia,706,MalePop,1990,3130
Somalia,706,MalePop,1995,3144
Somalia,706,MalePop,2000,3663
Somalia,706,MalePop,2005,4205
Somalia,706,MalePop,2010,4764
Somalia,706,MalePop,2015,5368
Somalia,706,FemalePop,1990,3191
Somalia,706,FemalePop,1995,3202
Somalia,706,FemalePop,2000,3722
Somalia,706,FemalePop,2005,4262
Somalia,706,FemalePop,2010,4818
Somalia,706,FemalePop,2015,5419
South Sudan,728,Pop,1990,5762
South Sudan,728,Pop,1995,5453
South Sudan,728,Pop,2000,6693
South Sudan,728,Pop,2005,8100
South Sudan,728,Pop,2010,10056
South Sudan,728,Pop,2015,12340
South Sudan,728,MalePop,1990,2864
South Sudan,728,MalePop,1995,2713
South Sudan,728,MalePop,2000,3334
South Sudan,728,MalePop,2005,4041
South Sudan,728,MalePop,2010,5027
South Sudan,728,MalePop,2015,6179
South Sudan,728,FemalePop,1990,2898
South Sudan,728,FemalePop,1995,2740
South Sudan,728,FemalePop,2000,3359
South Sudan,728,FemalePop,2005,4059
South Sudan,728,FemalePop,2010,5030
South Sudan,728,FemalePop,2015,6161
Uganda,800,Pop,1990,17384
Uganda,800,Pop,1995,20413
Uganda,800,Pop,2000,23758
Uganda,800,Pop,2005,28042
Uganda,800,Pop,2010,33149
Uganda,800,Pop,2015,39032
Uganda,800,MalePop,1990,8635
Uganda,800,MalePop,1995,10133
Uganda,800,MalePop,2000,11809
Uganda,800,MalePop,2005,13971
Uganda,800,MalePop,2010,16553
Uganda,800,MalePop,2015,19507
Uganda,800,FemalePop,1990,8750
Uganda,800,FemalePop,1995,10280
Uganda,800,FemalePop,2000,11949
Uganda,800,FemalePop,2005,14072
Uganda,800,FemalePop,2010,16596
Uganda,800,FemalePop,2015,19525
United Republic of Tanzania,834,Pop,1990,25458
United Republic of Tanzania,834,Pop,1995,29903
United Republic of Tanzania,834,Pop,2000,33992
United Republic of Tanzania,834,Pop,2005,39066
United Republic of Tanzania,834,Pop,2010,45649
United Republic of Tanzania,834,Pop,2015,53470
United Republic of Tanzania,834,MalePop,1990,12608
United Republic of Tanzania,834,MalePop,1995,14835
United Republic of Tanzania,834,MalePop,2000,16911
United Republic of Tanzania,834,MalePop,2005,19395
United Republic of Tanzania,834,MalePop,2010,22666
United Republic of Tanzania,834,MalePop,2015,26574
United Republic of Tanzania,834,FemalePop,1990,12850
United Republic of Tanzania,834,FemalePop,1995,15068
United Republic of Tanzania,834,FemalePop,2000,17081
United Republic of Tanzania,834,FemalePop,2005,19671
United Republic of Tanzania,834,FemalePop,2010,22983
United Republic of Tanzania,834,FemalePop,2015,26896
Zambia,894,Pop,1990,8143
Zambia,894,Pop,1995,9254
Zambia,894,Pop,2000,10585
Zambia,894,Pop,2005,12044
Zambia,894,Pop,2010,13917
Zambia,894,Pop,2015,16212
Zambia,894,MalePop,1990,4039
Zambia,894,MalePop,1995,4589
Zambia,894,MalePop,2000,5257
Zambia,894,MalePop,2005,5998
Zambia,894,MalePop,2010,6943
Zambia,894,MalePop,2015,8094
Zambia,894,FemalePop,1990,4104
Zambia,894,FemalePop,1995,4664
Zambia,894,FemalePop,2000,5328
Zambia,894,FemalePop,2005,6046
Zambia,894,FemalePop,2010,6975
Zambia,894,FemalePop,2015,8118
Zimbabwe,716,Pop,1990,10485
Zimbabwe,716,Pop,1995,11683
Zimbabwe,716,Pop,2000,12500
Zimbabwe,716,Pop,2005,12984
Zimbabwe,716,Pop,2010,13974
Zimbabwe,716,Pop,2015,15603
Zimbabwe,716,MalePop,1990,5219
Zimbabwe,716,MalePop,1995,5806
Zimbabwe,716,MalePop,2000,6220
Zimbabwe,716,MalePop,2005,6436
Zimbabwe,716,MalePop,2010,6905
Zimbabwe,716,MalePop,2015,7688
Zimbabwe,716,FemalePop,1990,5265
Zimbabwe,716,FemalePop,1995,5878
Zimbabwe,716,FemalePop,2000,6280
Zimbabwe,716,FemalePop,2005,6548
Zimbabwe,716,FemalePop,2010,7069
Zimbabwe,716,FemalePop,2015,7915
Angola,24,Pop,1990,11128
Angola,24,Pop,1995,13043
Angola,24,Pop,2000,15059
Angola,24,Pop,2005,17913
Angola,24,Pop,2010,21220
Angola,24,Pop,2015,25022
Angola,24,MalePop,1990,5479
Angola,24,MalePop,1995,6420
Angola,24,MalePop,2000,7427
Angola,24,MalePop,2005,8857
Angola,24,MalePop,2010,10513
Angola,24,MalePop,2015,12416
Angola,24,FemalePop,1990,5649
Angola,24,FemalePop,1995,6622
Angola,24,FemalePop,2000,7631
Angola,24,FemalePop,2005,9056
Angola,24,FemalePop,2010,10707
Angola,24,FemalePop,2015,12606
Cameroon,120,Pop,1990,12070
Cameroon,120,Pop,1995,13930
Cameroon,120,Pop,2000,15928
Cameroon,120,Pop,2005,18127
Cameroon,120,Pop,2010,20591
Cameroon,120,Pop,2015,23344
Cameroon,120,MalePop,1990,5995
Cameroon,120,MalePop,1995,6928
Cameroon,120,MalePop,2000,7934
Cameroon,120,MalePop,2005,9045
Cameroon,120,MalePop,2010,10288
Cameroon,120,MalePop,2015,11672
Cameroon,120,FemalePop,1990,6075
Cameroon,120,FemalePop,1995,7002
Cameroon,120,FemalePop,2000,7994
Cameroon,120,FemalePop,2005,9082
Cameroon,120,FemalePop,2010,10302
Cameroon,120,FemalePop,2015,11672
Central African Republic,140,Pop,1990,2938
Central African Republic,140,Pop,1995,3336
Central African Republic,140,Pop,2000,3726
Central African Republic,140,Pop,2005,4056
Central African Republic,140,Pop,2010,4445
Central African Republic,140,Pop,2015,4900
Central African Republic,140,MalePop,1990,1443
Central African Republic,140,MalePop,1995,1638
Central African Republic,140,MalePop,2000,1831
Central African Republic,140,MalePop,2005,1995
Central African Republic,140,MalePop,2010,2189
Central African Republic,140,MalePop,2015,2415
Central African Republic,140,FemalePop,1990,1495
Central African Republic,140,FemalePop,1995,1698
Central African Republic,140,FemalePop,2000,1895
Central African Republic,140,FemalePop,2005,2060
Central African Republic,140,FemalePop,2010,2256
Central African Republic,140,FemalePop,2015,2485
Chad,148,Pop,1990,5958
Chad,148,Pop,1995,7002
Chad,148,Pop,2000,8343
Chad,148,Pop,2005,10068
Chad,148,Pop,2010,11896
Chad,148,Pop,2015,14037
Chad,148,MalePop,1990,2958
Chad,148,MalePop,1995,3482
Chad,148,MalePop,2000,4156
Chad,148,MalePop,2005,5025
Chad,148,MalePop,2010,5950
Chad,148,MalePop,2015,7028
Chad,148,FemalePop,1990,3000
Chad,148,FemalePop,1995,3520
Chad,148,FemalePop,2000,4188
Chad,148,FemalePop,2005,5042
Chad,148,FemalePop,2010,5947
Chad,148,FemalePop,2015,7010
Congo,178,Pop,1990,2386
Congo,178,Pop,1995,2721
Congo,178,Pop,2000,3109
Congo,178,Pop,2005,3503
Congo,178,Pop,2010,4066
Congo,178,Pop,2015,4620
Congo,178,MalePop,1990,1190
Congo,178,MalePop,1995,1357
Congo,178,MalePop,2000,1552
Congo,178,MalePop,2005,1750
Congo,178,MalePop,2010,2033
Congo,178,MalePop,2015,2311
Congo,178,FemalePop,1990,1197
Congo,178,FemalePop,1995,1364
Congo,178,FemalePop,2000,1557
Congo,178,FemalePop,2005,1753
Congo,178,FemalePop,2010,2033
Congo,178,FemalePop,2015,2309
Democratic Republic of the Congo,180,Pop,1990,34963
Democratic Republic of the Congo,180,Pop,1995,42184
Democratic Republic of the Congo,180,Pop,2000,48049
Democratic Republic of the Congo,180,Pop,2005,56090
Democratic Republic of the Congo,180,Pop,2010,65939
Democratic Republic of the Congo,180,Pop,2015,77267
Democratic Republic of the Congo,180,MalePop,1990,17255
Democratic Republic of the Congo,180,MalePop,1995,20880
Democratic Republic of the Congo,180,MalePop,2000,23834
Democratic Republic of the Congo,180,MalePop,2005,27878
Democratic Republic of the Congo,180,MalePop,2010,32833
Democratic Republic of the Congo,180,MalePop,2015,38533
Democratic Republic of the Congo,180,FemalePop,1990,17707
Democratic Republic of the Congo,180,FemalePop,1995,21304
Democratic Republic of the Congo,180,FemalePop,2000,24215
Democratic Republic of the Congo,180,FemalePop,2005,28212
Democratic Republic of the Congo,180,FemalePop,2010,33106
Democratic Republic of the Congo,180,FemalePop,2015,38734
Equatorial Guinea,226,Pop,1990,377
Equatorial Guinea,226,Pop,1995,448
Equatorial Guinea,226,Pop,2000,531
Equatorial Guinea,226,Pop,2005,626
Equatorial Guinea,226,Pop,2010,729
Equatorial Guinea,226,Pop,2015,845
Equatorial Guinea,226,MalePop,1990,193
Equatorial Guinea,226,MalePop,1995,229
Equatorial Guinea,226,MalePop,2000,272
Equatorial Guinea,226,MalePop,2005,321
Equatorial Guinea,226,MalePop,2010,374
Equatorial Guinea,226,MalePop,2015,433
Equatorial Guinea,226,FemalePop,1990,185
Equatorial Guinea,226,FemalePop,1995,219
Equatorial Guinea,226,FemalePop,2000,259
Equatorial Guinea,226,FemalePop,2005,305
Equatorial Guinea,226,FemalePop,2010,355
Equatorial Guinea,226,FemalePop,2015,412
Gabon,266,Pop,1990,952
Gabon,266,Pop,1995,1086
Gabon,266,Pop,2000,1232
Gabon,266,Pop,2005,1378
Gabon,266,Pop,2010,1542
Gabon,266,Pop,2015,1725
Gabon,266,MalePop,1990,466
Gabon,266,MalePop,1995,535
Gabon,266,MalePop,2000,611
Gabon,266,MalePop,2005,690
Gabon,266,MalePop,2010,778
Gabon,266,MalePop,2015,872
Gabon,266,FemalePop,1990,486
Gabon,266,FemalePop,1995,552
Gabon,266,FemalePop,2000,620
Gabon,266,FemalePop,2005,688
Gabon,266,FemalePop,2010,764
Gabon,266,FemalePop,2015,853
Sao Tome and Principe,678,Pop,1990,114
Sao Tome and Principe,678,Pop,1995,126
Sao Tome and Principe,678,Pop,2000,137
Sao Tome and Principe,678,Pop,2005,153
Sao Tome and Principe,678,Pop,2010,171
Sao Tome and Principe,678,Pop,2015,190
Sao Tome and Principe,678,MalePop,1990,56
Sao Tome and Principe,678,MalePop,1995,62
Sao Tome and Principe,678,MalePop,2000,68
Sao Tome and Principe,678,MalePop,2005,76
Sao Tome and Principe,678,MalePop,2010,85
Sao Tome and Principe,678,MalePop,2015,95
Sao Tome and Principe,678,FemalePop,1990,57
Sao Tome and Principe,678,FemalePop,1995,63
Sao Tome and Principe,678,FemalePop,2000,69
Sao Tome and Principe,678,FemalePop,2005,77
Sao Tome and Principe,678,FemalePop,2010,86
Sao Tome and Principe,678,FemalePop,2015,96
Algeria,12,Pop,1990,25912
Algeria,12,Pop,1995,28904
Algeria,12,Pop,2000,31184
Algeria,12,Pop,2005,33268
Algeria,12,Pop,2010,36036
Algeria,12,Pop,2015,39667
Algeria,12,MalePop,1990,13117
Algeria,12,MalePop,1995,14639
Algeria,12,MalePop,2000,15803
Algeria,12,MalePop,2005,16809
Algeria,12,MalePop,2010,18151
Algeria,12,MalePop,2015,19958
Algeria,12,FemalePop,1990,12795
Algeria,12,FemalePop,1995,14265
Algeria,12,FemalePop,2000,15381
Algeria,12,FemalePop,2005,16459
Algeria,12,FemalePop,2010,17885
Algeria,12,FemalePop,2015,19709
Egypt,818,Pop,1990,56397
Egypt,818,Pop,1995,62435
Egypt,818,Pop,2000,68335
Egypt,818,Pop,2005,74942
Egypt,818,Pop,2010,82041
Egypt,818,Pop,2015,91508
Egypt,818,MalePop,1990,28295
Egypt,818,MalePop,1995,31396
Egypt,818,MalePop,2000,34354
Egypt,818,MalePop,2005,37762
Egypt,818,MalePop,2010,41405
Egypt,818,MalePop,2015,46240
Egypt,818,FemalePop,1990,28102
Egypt,818,FemalePop,1995,31038
Egypt,818,FemalePop,2000,33981
Egypt,818,FemalePop,2005,37180
Egypt,818,FemalePop,2010,40636
Egypt,818,FemalePop,2015,45268
Libya,434,Pop,1990,4398
Libya,434,Pop,1995,4878
Libya,434,Pop,2000,5337
Libya,434,Pop,2005,5802
Libya,434,Pop,2010,6266
Libya,434,Pop,2015,6278
Libya,434,MalePop,1990,2320
Libya,434,MalePop,1995,2556
Libya,434,MalePop,2000,2784
Libya,434,MalePop,2005,2999
Libya,434,MalePop,2010,3207
Libya,434,MalePop,2015,3157
Libya,434,FemalePop,1990,2079
Libya,434,FemalePop,1995,2322
Libya,434,FemalePop,2000,2553
Libya,434,FemalePop,2005,2802
Libya,434,FemalePop,2010,3058
Libya,434,FemalePop,2015,3122
Morocco,504,Pop,1990,24950
Morocco,504,Pop,1995,27162
Morocco,504,Pop,2000,28951
Morocco,504,Pop,2005,30385
Morocco,504,Pop,2010,32108
Morocco,504,Pop,2015,34378
Morocco,504,MalePop,1990,12449
Morocco,504,MalePop,1995,13513
Morocco,504,MalePop,2000,14345
Morocco,504,MalePop,2005,14986
Morocco,504,MalePop,2010,15803
Morocco,504,MalePop,2015,16989
Morocco,504,FemalePop,1990,12501
Morocco,504,FemalePop,1995,13649
Morocco,504,FemalePop,2000,14605
Morocco,504,FemalePop,2005,15400
Morocco,504,FemalePop,2010,16305
Morocco,504,FemalePop,2015,17388
Sudan,729,Pop,1990,20009
Sudan,729,Pop,1995,24692
Sudan,729,Pop,2000,28080
Sudan,729,Pop,2005,31990
Sudan,729,Pop,2010,36115
Sudan,729,Pop,2015,40235
Sudan,729,MalePop,1990,10047
Sudan,729,MalePop,1995,12398
Sudan,729,MalePop,2000,14094
Sudan,729,MalePop,2005,16050
Sudan,729,MalePop,2010,18120
Sudan,729,MalePop,2015,20197
Sudan,729,FemalePop,1990,9962
Sudan,729,FemalePop,1995,12294
Sudan,729,FemalePop,2000,13986
Sudan,729,FemalePop,2005,15940
Sudan,729,FemalePop,2010,17995
Sudan,729,FemalePop,2015,20038
Tunisia,788,Pop,1990,8233
Tunisia,788,Pop,1995,9114
Tunisia,788,Pop,2000,9699
Tunisia,788,Pop,2005,10102
Tunisia,788,Pop,2010,10639
Tunisia,788,Pop,2015,11254
Tunisia,788,MalePop,1990,4139
Tunisia,788,MalePop,1995,4590
Tunisia,788,MalePop,2000,4866
Tunisia,788,MalePop,2005,5032
Tunisia,788,MalePop,2010,5276
Tunisia,788,MalePop,2015,5561
Tunisia,788,FemalePop,1990,4093
Tunisia,788,FemalePop,1995,4524
Tunisia,788,FemalePop,2000,4833
Tunisia,788,FemalePop,2005,5071
Tunisia,788,FemalePop,2010,5363
Tunisia,788,FemalePop,2015,5692
Western Sahara,732,Pop,1990,217
Western Sahara,732,Pop,1995,253
Western Sahara,732,Pop,2000,306
Western Sahara,732,Pop,2005,428
Western Sahara,732,Pop,2010,512
Western Sahara,732,Pop,2015,573
Western Sahara,732,MalePop,1990,114
Western Sahara,732,MalePop,1995,132
Western Sahara,732,MalePop,2000,160
Western Sahara,732,MalePop,2005,226
Western Sahara,732,MalePop,2010,270
Western Sahara,732,MalePop,2015,300
Western Sahara,732,FemalePop,1990,103
Western Sahara,732,FemalePop,1995,122
Western Sahara,732,FemalePop,2000,146
Western Sahara,732,FemalePop,2005,202
Western Sahara,732,FemalePop,2010,242
Western Sahara,732,FemalePop,2015,273
Botswana,72,Pop,1990,1380
Botswana,72,Pop,1995,1576
Botswana,72,Pop,2000,1737
Botswana,72,Pop,2005,1864
Botswana,72,Pop,2010,2048
Botswana,72,Pop,2015,2262
Botswana,72,MalePop,1990,681
Botswana,72,MalePop,1995,781
Botswana,72,MalePop,2000,864
Botswana,72,MalePop,2005,930
Botswana,72,MalePop,2010,1023
Botswana,72,MalePop,2015,1130
Botswana,72,FemalePop,1990,699
Botswana,72,FemalePop,1995,795
Botswana,72,FemalePop,2000,872
Botswana,72,FemalePop,2005,934
Botswana,72,FemalePop,2010,1025
Botswana,72,FemalePop,2015,1132
Lesotho,426,Pop,1990,1598
Lesotho,426,Pop,1995,1754
Lesotho,426,Pop,2000,1856
Lesotho,426,Pop,2005,1926
Lesotho,426,Pop,2010,2011
Lesotho,426,Pop,2015,2135
Lesotho,426,MalePop,1990,776
Lesotho,426,MalePop,1995,859
Lesotho,426,MalePop,2000,899
Lesotho,426,MalePop,2005,939
Lesotho,426,MalePop,2010,988
Lesotho,426,MalePop,2015,1057
Lesotho,426,FemalePop,1990,821
Lesotho,426,FemalePop,1995,894
Lesotho,426,FemalePop,2000,957
Lesotho,426,FemalePop,2005,987
Lesotho,426,FemalePop,2010,1023
Lesotho,426,FemalePop,2015,1078
Namibia,516,Pop,1990,1415
Namibia,516,Pop,1995,1654
Namibia,516,Pop,2000,1898
Namibia,516,Pop,2005,2027
Namibia,516,Pop,2010,2194
Namibia,516,Pop,2015,2459
Namibia,516,MalePop,1990,692
Namibia,516,MalePop,1995,811
Namibia,516,MalePop,2000,933
Namibia,516,MalePop,2005,990
Namibia,516,MalePop,2010,1064
Namibia,516,MalePop,2015,1197
Namibia,516,FemalePop,1990,724
Namibia,516,FemalePop,1995,843
Namibia,516,FemalePop,2000,965
Namibia,516,FemalePop,2005,1037
Namibia,516,FemalePop,2010,1129
Namibia,516,FemalePop,2015,1262
South Africa,710,Pop,1990,36793
South Africa,710,Pop,1995,41427
South Africa,710,Pop,2000,44897
South Africa,710,Pop,2005,48353
South Africa,710,Pop,2010,51622
South Africa,710,Pop,2015,54490
South Africa,710,MalePop,1990,18204
South Africa,710,MalePop,1995,20409
South Africa,710,MalePop,2000,22103
South Africa,710,MalePop,2005,23744
South Africa,710,MalePop,2010,25322
South Africa,710,MalePop,2015,26797
South Africa,710,FemalePop,1990,18589
South Africa,710,FemalePop,1995,21018
South Africa,710,FemalePop,2000,22794
South Africa,710,FemalePop,2005,24609
South Africa,710,FemalePop,2010,26300
South Africa,710,FemalePop,2015,27693
Swaziland,748,Pop,1990,863
Swaziland,748,Pop,1995,963
Swaziland,748,Pop,2000,1064
Swaziland,748,Pop,2005,1105
Swaziland,748,Pop,2010,1193
Swaziland,748,Pop,2015,1287
Swaziland,748,MalePop,1990,407
Swaziland,748,MalePop,1995,463
Swaziland,748,MalePop,2000,515
Swaziland,748,MalePop,2005,540
Swaziland,748,MalePop,2010,587
Swaziland,748,MalePop,2015,636
Swaziland,748,FemalePop,1990,456
Swaziland,748,FemalePop,1995,500
Swaziland,748,FemalePop,2000,549
Swaziland,748,FemalePop,2005,565
Swaziland,748,FemalePop,2010,607
Swaziland,748,FemalePop,2015,651
Benin,204,Pop,1990,5001
Benin,204,Pop,1995,5986
Benin,204,Pop,2000,6949
Benin,204,Pop,2005,8182
Benin,204,Pop,2010,9510
